순위,곡명,아티스트,앨범,앨범링크
1,화(火花),(여자)아이들,I burn,https://music.bugs.co.kr/album/4024084?wl_ref=list_tr_11_chart
2,옜다 (Take It) (Prod. GroovyRoom),머쉬베놈(MUSHVENOM),굴젓 (G+Jus),https://music.bugs.co.kr/album/20372283?wl_ref=list_tr_11_chart
3,MOON,(여자)아이들,I burn,https://music.bugs.co.kr/album/4024084?wl_ref=list_tr_11_chart
4,우린 어쩌다 헤어진 걸까,허각,Hello,https://music.bugs.co.kr/album/4021262?wl_ref=list_tr_11_chart
5,한(寒),(여자)아이들,I burn,https://music.bugs.co.kr/album/4024084?wl_ref=list_tr_11_chart
6,Your Lights,이수 (엠씨더맥스),Your Lights (바이크 원정대 OST Part.1),https://music.bugs.co.kr/album/4022885?wl_ref=list_tr_11_chart
7,Dynamite,방탄소년단,Dynamite (DayTime Version),https://music.bugs.co.kr/album/20344912?wl_ref=list_tr_11_chart
8,LOST,(여자)아이들,I burn,https://music.bugs.co.kr/album/4024084?wl_ref=list_tr_11_chart
9,What Do I Call You,태연 (TAEYEON),What Do I Call You - The 4th Mini Album,https://music.bugs.co.kr/album/20367316?wl_ref=list_tr_11_chart
10,첫사랑 (feat.SOLE(쏠)),정준일,첫사랑 (feat.SOLE(쏠)),https://music.bugs.co.kr/album/4022887?wl_ref=list_tr_11_chart
11,For You (Feat. Crush),이하이,For You,https://music.bugs.co.kr/album/20366914?wl_ref=list_tr_11_chart
12,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이,쇼미더머니 9 Episode 1,https://music.bugs.co.kr/album/20361954?wl_ref=list_tr_11_chart
13,Life Goes On,방탄소년단,BE,https://music.bugs.co.kr/album/20361943?wl_ref=list_tr_11_chart
14,나로 바꾸자 (duet with JYP),비,나로 바꾸자 (duet with JYP),https://music.bugs.co.kr/album/4021860?wl_ref=list_tr_11_chart
15,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),https://music.bugs.co.kr/album/4014150?wl_ref=list_tr_11_chart
16,Lovesick Girls,BLACKPINK,THE ALBUM,https://music.bugs.co.kr/album/20352127?wl_ref=list_tr_11_chart
17,Black Mamba,aespa,Black Mamba,https://music.bugs.co.kr/album/20361192?wl_ref=list_tr_11_chart
18,DAHLIA,(여자)아이들,I burn,https://music.bugs.co.kr/album/4024084?wl_ref=list_tr_11_chart
19,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이(lIlBOI),쇼미더머니 9 Final,https://music.bugs.co.kr/album/20368283?wl_ref=list_tr_11_chart
20,휘파람,싱어게인 63호 가수,싱어게인 - 무명가수전 Episode.6,https://music.bugs.co.kr/album/4020452?wl_ref=list_tr_11_chart
21,VVS (H1GHR Remix) (Feat. JUSTHIS) (Prod. GroovyRoom),pH-1,굴젓 (G+Jus),https://music.bugs.co.kr/album/20372283?wl_ref=list_tr_11_chart
22,잠이 오질 않네요,장범준,잠이 오질 않네요,https://music.bugs.co.kr/album/999186?wl_ref=list_tr_11_chart
23,겨울잠,장덕철,겨울잠,https://music.bugs.co.kr/album/4023621?wl_ref=list_tr_11_chart
24,입김,10CM,5.1,https://music.bugs.co.kr/album/4020725?wl_ref=list_tr_11_chart
25,Panorama,IZ*ONE(아이즈원),One-reeler / Act IV,https://music.bugs.co.kr/album/20365582?wl_ref=list_tr_11_chart
26,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이,쇼미더머니 9 Episode 3,https://music.bugs.co.kr/album/20365092?wl_ref=list_tr_11_chart
27,서로를 위한 것,나얼(Na-Ul),서로를 위한 것,https://music.bugs.co.kr/album/4020328?wl_ref=list_tr_11_chart
28,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],https://music.bugs.co.kr/album/996909?wl_ref=list_tr_11_chart
29,I CAN’T STOP ME,TWICE (트와이스),Eyes wide open,https://music.bugs.co.kr/album/20356321?wl_ref=list_tr_11_chart
30,변덕쟁이,백아연,故김현식 30주기 헌정앨범 “추억 만들기” Part 5,https://music.bugs.co.kr/album/4024253?wl_ref=list_tr_11_chart
31,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,https://music.bugs.co.kr/album/20272602?wl_ref=list_tr_11_chart
32,34+35,Ariana Grande(아리아나 그란데),Positions,https://music.bugs.co.kr/album/14888808?wl_ref=list_tr_11_chart
33,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),https://music.bugs.co.kr/album/988734?wl_ref=list_tr_11_chart
34,가을밤에 든 생각,잔나비,잔나비 소곡집 l,https://music.bugs.co.kr/album/4012637?wl_ref=list_tr_11_chart
35,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim),'키스 먼저 할까요?' OST Part.3,https://music.bugs.co.kr/album/20154722?wl_ref=list_tr_11_chart
36,Blueming,아이유(IU),Love poem,https://music.bugs.co.kr/album/20286013?wl_ref=list_tr_11_chart
37,사라진 모든 것들에게(with ELLE KOREA),코드 쿤스트,RECONNECT,https://music.bugs.co.kr/album/4014540?wl_ref=list_tr_11_chart
38,에잇(Prod.&Feat. SUGA of BTS),아이유(IU),에잇,https://music.bugs.co.kr/album/20322838?wl_ref=list_tr_11_chart
39,Lovegame,백예린 (Yerin Baek),tellusboutyourself,https://music.bugs.co.kr/album/20366390?wl_ref=list_tr_11_chart
40,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),https://music.bugs.co.kr/album/998892?wl_ref=list_tr_11_chart
41,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이(lIlBOI),쇼미더머니 9 Episode 3,https://music.bugs.co.kr/album/20365092?wl_ref=list_tr_11_chart
42,Dolphin,오마이걸(OH MY GIRL),NONSTOP,https://music.bugs.co.kr/album/14116820?wl_ref=list_tr_11_chart
43,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL),NONSTOP,https://music.bugs.co.kr/album/14116820?wl_ref=list_tr_11_chart
44,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이(lIlBOI),쇼미더머니 9 Final,https://music.bugs.co.kr/album/20368283?wl_ref=list_tr_11_chart
45,Where is love,(여자)아이들,I burn,https://music.bugs.co.kr/album/4024084?wl_ref=list_tr_11_chart
46,정류장,타루(Taru),정류장,https://music.bugs.co.kr/album/4024061?wl_ref=list_tr_11_chart
47,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래,https://music.bugs.co.kr/album/340045?wl_ref=list_tr_11_chart
48,"Achoo Remix (Feat. 미란이(Mirani), pH-1, 먼치맨, Skinny Brown, Louie, 릴러말즈 (Leellamarz), Ourealgoat (아우릴고트), Dbo (디보), 식케이 (Sik-K), 오왼 (Owen), Kid Milli, 스윙스, Nudeboi Seo, TRADE L, 쿠기 (Coogie), Blase (블라세), sokodomo, Khundi Panda, 휘민 (Lil Moshpit), Khakii (카키))",그루비룸 (GroovyRoom),굴젓 (G+Jus),https://music.bugs.co.kr/album/20372283?wl_ref=list_tr_11_chart
49,못다핀 꽃 한송이,싱어게인 29호 가수,싱어게인 - 무명가수전 Episode.8,https://music.bugs.co.kr/album/4024241?wl_ref=list_tr_11_chart
50,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해,https://music.bugs.co.kr/album/20278851?wl_ref=list_tr_11_chart
51,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),https://music.bugs.co.kr/album/20345022?wl_ref=list_tr_11_chart
52,MAGO,여자친구(GFRIEND),回:Walpurgis Night,https://music.bugs.co.kr/album/4013503?wl_ref=list_tr_11_chart
53,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),KHUNDI PANDA,쇼미더머니 9 Episode 3,https://music.bugs.co.kr/album/20365092?wl_ref=list_tr_11_chart
54,너도 아는,폴킴(Paul Kim),너도 아는,https://music.bugs.co.kr/album/999430?wl_ref=list_tr_11_chart
55,우리의 밤은 당신의 낮보다 아름답다,"너도 나도 너드(싱어게인 17호 가수, 싱어게인 26호 가수)",싱어게인 - 무명가수전 Episode.7,https://music.bugs.co.kr/album/4022800?wl_ref=list_tr_11_chart
56,불면증 (Vocal by 윤하),에피톤 프로젝트(Epitone Project),불면증 (Vocal by 윤하),https://music.bugs.co.kr/album/4019140?wl_ref=list_tr_11_chart
57,시작,가호(Gaho),이태원 클라쓰 OST Part.2,https://music.bugs.co.kr/album/20303385?wl_ref=list_tr_11_chart
58,parachute,John K,love + everything else,https://music.bugs.co.kr/album/14917009?wl_ref=list_tr_11_chart
59,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,https://music.bugs.co.kr/album/20354817?wl_ref=list_tr_11_chart
60,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈(MUSHVENOM),쇼미더머니 9 Final,https://music.bugs.co.kr/album/20368283?wl_ref=list_tr_11_chart
61,Hate you,백예린 (Yerin Baek),tellusboutyourself,https://music.bugs.co.kr/album/20366390?wl_ref=list_tr_11_chart
62,주저하는 연인들을 위해,잔나비,전설,https://music.bugs.co.kr/album/20237198?wl_ref=list_tr_11_chart
63,잘할게,이승기,The Project,https://music.bugs.co.kr/album/4018534?wl_ref=list_tr_11_chart
64,사랑은 (Feat.원슈타인),마미손,나의슬픔(My Sadness),https://music.bugs.co.kr/album/955312?wl_ref=list_tr_11_chart
65,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스(Swings),쇼미더머니 9 Semi Final,https://music.bugs.co.kr/album/20366687?wl_ref=list_tr_11_chart
66,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME,https://music.bugs.co.kr/album/997418?wl_ref=list_tr_11_chart
67,혼술하고 싶은 밤,벤,혼술하고 싶은 밤,https://music.bugs.co.kr/album/20364406?wl_ref=list_tr_11_chart
68,How You Like That,BLACKPINK,How You Like That,https://music.bugs.co.kr/album/20334175?wl_ref=list_tr_11_chart
69,마음을 드려요,아이유(IU),사랑의 불시착 OST Part 11,https://music.bugs.co.kr/album/20306376?wl_ref=list_tr_11_chart
70,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,https://music.bugs.co.kr/album/20246036?wl_ref=list_tr_11_chart
71,홀로,이하이,홀로,https://music.bugs.co.kr/album/20339176?wl_ref=list_tr_11_chart
72,딩가딩가 (Dingga),마마무(Mamamoo),딩가딩가 (Dingga),https://music.bugs.co.kr/album/998432?wl_ref=list_tr_11_chart
73,Snowman,Sia(시아),Everyday Is Christmas [Deluxe],https://music.bugs.co.kr/album/680332?wl_ref=list_tr_11_chart
74,METEOR,창모(CHANGMO),Boyhood,https://music.bugs.co.kr/album/20291742?wl_ref=list_tr_11_chart
75,요즘,양다일,요즘,https://music.bugs.co.kr/album/4021701?wl_ref=list_tr_11_chart
76,아로하,조정석,슬기로운 의사생활 OST Part 3,https://music.bugs.co.kr/album/20314288?wl_ref=list_tr_11_chart
77,Bad Boy,청하,Bad Boy,https://music.bugs.co.kr/album/996276?wl_ref=list_tr_11_chart
78,적외선 카메라,원슈타인,쇼미더머니 9 Episode 3,https://music.bugs.co.kr/album/20365092?wl_ref=list_tr_11_chart
79,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,https://music.bugs.co.kr/album/20287171?wl_ref=list_tr_11_chart
80,어김없이 이 거리에,정승환,어김없이 이 거리에,https://music.bugs.co.kr/album/4017860?wl_ref=list_tr_11_chart
81,When We Disco (Duet with 선미),박진영,When We Disco,https://music.bugs.co.kr/album/20343349?wl_ref=list_tr_11_chart
82,내 방을 여행하는 법,방탄소년단,BE,https://music.bugs.co.kr/album/20361943?wl_ref=list_tr_11_chart
83,Love poem,아이유(IU),Love poem,https://music.bugs.co.kr/album/20286013?wl_ref=list_tr_11_chart
