순위,곡명,아티스트,앨범,앨범링크
1,Dynamite,방탄소년단,Dynamite (DayTime Version),https://vibe.naver.com/album/4820425
2,밤하늘의 별을 (2020),경서,밤하늘의 별을 (2020),https://vibe.naver.com/album/5083052
3,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이(Mirani), 먼치맨, 쿤디판다(Khundi Panda), 머쉬베놈(MUSHVENOM)",쇼미더머니 9 Episode 1,https://vibe.naver.com/album/5100782
4,잠이 오질 않네요,장범준,잠이 오질 않네요,https://vibe.naver.com/album/5051742
5,Lovesick Girls,BLACKPINK,THE ALBUM,https://vibe.naver.com/album/4983288
6,Life Goes On,방탄소년단,BE,https://vibe.naver.com/album/5100133
7,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),https://vibe.naver.com/album/4686872
8,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이(lIlBOI),쇼미더머니 9 Episode 3,https://vibe.naver.com/album/5141786
9,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,https://vibe.naver.com/album/5042552
10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해,https://vibe.naver.com/album/3199865
11,에잇(Prod.&Feat. SUGA of BTS),아이유(IU),에잇,https://vibe.naver.com/album/4550593
12,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재),https://vibe.naver.com/album/5051001
13,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이(lIlBOI),쇼미더머니 9 Final,https://vibe.naver.com/album/5168238
14,I CAN'T STOP ME,TWICE(트와이스),Eyes wide open,https://vibe.naver.com/album/5052634
15,나로 바꾸자 (duet with JYP),비,나로 바꾸자 (duet with JYP),https://vibe.naver.com/album/5183020
16,Love poem,아이유(IU),Love poem,https://vibe.naver.com/album/3399860
17,딩가딩가 (Dingga),마마무(Mamamoo),딩가딩가 (Dingga),https://vibe.naver.com/album/5044090
18,Dolphin,오마이걸(OH MY GIRL),NONSTOP,https://vibe.naver.com/album/4535336
19,Panorama,IZ*ONE(아이즈원),One-reeler / Act IV,https://vibe.naver.com/album/5147124
20,화(火花),(여자) 아이들,I burn,https://vibe.naver.com/album/5190622
21,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jawsh 685, Jason Derulo, 방탄소년단",Savage Love (Laxed - Siren Beat) [BTS Remix],https://vibe.naver.com/album/4991304
22,DON'T TOUCH ME,환불원정대,DON'T TOUCH ME,https://vibe.naver.com/album/5020831
23,요즘,양다일,요즘,https://vibe.naver.com/album/5182111
24,잘할게,이승기,The Project,https://vibe.naver.com/album/5151274
25,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이(Mirani),쇼미더머니 9 Episode 3,https://vibe.naver.com/album/5141786
26,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,https://vibe.naver.com/album/3406157
27,What Do I Call You,태연 (TAEYEON),What Do I Call You - The 4th Mini Album,https://vibe.naver.com/album/5157193
28,When We Disco (Duet with 선미),박진영,When We Disco,https://vibe.naver.com/album/4780824
29,Freak (Prod. Slom),"릴보이(lIlBOI), 원슈타인, Chillin Homie, 스카이민혁(Skyminhyuk)",쇼미더머니 9 Episode 1,https://vibe.naver.com/album/5100782
30,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현(KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),https://vibe.naver.com/album/4821722
31,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,https://vibe.naver.com/album/3156245
32,Black Mamba,aespa,Black Mamba,https://vibe.naver.com/album/5094974
33,마리아 (Maria),화사(Hwa Sa),María,https://vibe.naver.com/album/4614746
34,너를 만나,폴킴,너를 만나,https://vibe.naver.com/album/2574254
35,Blueming,아이유(IU),Love poem,https://vibe.naver.com/album/3399860
36,How You Like That,BLACKPINK,How You Like That,https://vibe.naver.com/album/4613637
37,가을밤에 든 생각,잔나비,잔나비 소곡집 l,https://vibe.naver.com/album/5073202
38,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),쿤디판다(Khundi Panda),쇼미더머니 9 Episode 3,https://vibe.naver.com/album/5141786
39,재회 (再會),세정,경이로운 소문 OST Part 2,https://vibe.naver.com/album/5168151
40,밤편지,아이유(IU),밤편지,https://vibe.naver.com/album/1855408
41,Lovegame,백예린(Yerin Baek),tellusboutyourself,https://vibe.naver.com/album/5151200
42,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL),NONSTOP,https://vibe.naver.com/album/4535336
43,이 밤이 다 가기 전에 오늘이 어제가 되기 전에,10CM,5.1,https://vibe.naver.com/album/5173567
44,아로하,조정석,슬기로운 의사생활 OST Part 3,https://vibe.naver.com/album/4498641
45,For You (Feat. Crush),이하이,For You,https://vibe.naver.com/album/5159947
46,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이(lIlBOI),쇼미더머니 9 Final,https://vibe.naver.com/album/5168238
47,METEOR,창모(CHANGMO),Boyhood,https://vibe.naver.com/album/3591286
48,34+35,Ariana Grande,Positions,https://vibe.naver.com/album/5058862
49,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part 3,https://vibe.naver.com/album/2421567
50,어김없이 이 거리에,정승환,어김없이 이 거리에,https://vibe.naver.com/album/5148822
51,봄날,방탄소년단,YOU NEVER WALK ALONE,https://vibe.naver.com/album/1781318
52,서로를 위한 것,나얼,서로를 위한 것,https://vibe.naver.com/album/5172150
53,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스(Swings),쇼미더머니 9 Semi Final,https://vibe.naver.com/album/5152987
54,우린 어쩌다 헤어진 걸까,허각,Hello,https://vibe.naver.com/album/5181319
55,거짓말이라도 해서 널 보고싶어,백지영,거짓말이라도 해서 널 보고싶어,https://vibe.naver.com/album/4660376
56,홀로,이하이,홀로,https://vibe.naver.com/album/4701143
57,ALIEN,이수현,ALIEN,https://vibe.naver.com/album/5039442
58,Holy (Feat. Chance The Rapper),Justin Bieber,Holy,https://vibe.naver.com/album/4938035
59,Blue & Grey,방탄소년단,BE,https://vibe.naver.com/album/5100133
60,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까,https://vibe.naver.com/album/5137031
61,휘파람,싱어게인 63호 가수,싱어게인 - 무명가수전 Episode.6,https://vibe.naver.com/album/5172723
62,너도 아는,폴킴,너도 아는,https://vibe.naver.com/album/5053394
63,아무노래,지코 (ZICO),아무노래,https://vibe.naver.com/album/4413282
64,오래된 노래,스탠딩 에그(Standing Egg),오래된 노래,https://vibe.naver.com/album/329778
65,동백꽃,"적재, 혁 (HYUK)",동백꽃,https://vibe.naver.com/album/5172996
66,뻔한남자,이승기,뻔한남자,https://vibe.naver.com/album/5083045
67,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈(MUSHVENOM),쇼미더머니 9 Semi Final,https://vibe.naver.com/album/5152987
68,첫눈처럼 너에게 가겠다,에일리(AILEE),도깨비 OST Part 9,https://vibe.naver.com/album/1773336
69,Anyone,Justin Bieber,Anyone,https://vibe.naver.com/album/5184112
70,Memories,Maroon 5,Memories,https://vibe.naver.com/album/3198839
71,Not Shy,ITZY(있지),Not Shy,https://vibe.naver.com/album/4789953
72,주저하는 연인들을 위해,잔나비,전설,https://vibe.naver.com/album/2923941
73,MOON,(여자) 아이들,I burn,https://vibe.naver.com/album/5190622
74,혼술하고 싶은 밤,벤,혼술하고 싶은 밤,https://vibe.naver.com/album/5134494
75,적외선 카메라,원슈타인,쇼미더머니 9 Episode 3,https://vibe.naver.com/album/5141786
76,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,https://vibe.naver.com/album/4574324
77,MAGO,여자친구(GFRIEND),回:Walpurgis Night,https://vibe.naver.com/album/5074359
78,시작,가호 (Gaho),이태원 클라쓰 OST Part 2,https://vibe.naver.com/album/4430113
79,처음처럼,엠씨더맥스(M.C the MAX),CEREMONIA,https://vibe.naver.com/album/4497010
80,사계 (Four Seasons),태연 (TAEYEON),사계 (Four Seasons),https://vibe.naver.com/album/2950189
81,눈누난나 (NUNU NANA),제시(Jessi),NUNA,https://vibe.naver.com/album/4733872
82,AYA,마마무(Mamamoo),TRAVEL,https://vibe.naver.com/album/5064545
83,willow,Taylor Swift,evermore,https://vibe.naver.com/album/5153121
84,너의 모든 순간,성시경,별에서 온 그대 OST Part 7,https://vibe.naver.com/album/416823
85,2002,Anne-Marie,Speak Your Mind (Deluxe),https://vibe.naver.com/album/2343021
86,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈(MUSHVENOM),쇼미더머니 9 Final,https://vibe.naver.com/album/5168238
87,Snowman,Sia,Everyday Is Christmas (Deluxe),https://vibe.naver.com/album/2254568
88,덤디덤디 (DUMDi DUMDi),(여자) 아이들,덤디덤디 (DUMDi DUMDi),https://vibe.naver.com/album/4752246
89,ON,방탄소년단,MAP OF THE SOUL : 7,https://vibe.naver.com/album/4417123
90,입김,10CM,5.1,https://vibe.naver.com/album/5173567
91,첫사랑 (feat.SOLE(쏠)),정준일,첫사랑 (feat.SOLE(쏠)),https://vibe.naver.com/album/5185577
92,감사해 덕분에 (Prod. By LA박피디),"장혜진, 하동균",Unfinished Job part 1,https://vibe.naver.com/album/5168143
93,미리 메리 크리스마스 (Feat. 천둥 of MBLAQ),아이유(IU),Real,https://vibe.naver.com/album/184117
94,한잔이면 지워질까,황인욱,한잔이면 지워질까,https://vibe.naver.com/album/5155828
95,Santa Tell Me,Ariana Grande,Santa Tell Me,https://vibe.naver.com/album/466046
96,눈 (Feat. 이문세),Zion.T,눈,https://vibe.naver.com/album/2287582
97,내 방을 여행하는 법,방탄소년단,BE,https://vibe.naver.com/album/5100133
98,positions,Ariana Grande,positions,https://vibe.naver.com/album/5051499
